place,Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,
,2015,"9,852","5,207","55,138","67,570","79,827","71,646","71,646","45,180","29,540","41,668","32,762","22,014","532,050"
,2014,"9,111","12,534","46,735","116,462","105,059","98,864","75,394","54,685","49,636","44,404","32,736","26,018","671,638"
,2013,"23,372","23,090","83,528","87,454","79,637","74,315","58,986","41,060","36,888","21,091","35,588","21,522","586,531"
,,,,,,,,,,,,,,
Assateague Island NS (ASIS),2016,"51,098","50,430","89,976","115,162","185,956","311,532","511,659","494,030",,,,,"1,809,843"
,2015,"38,582","31,444","56,740","109,489","221,837","308,514","497,043","506,024","255,839","128,583","74,284","47,227","2,275,606"
,2014,"27,027","36,100","52,653","115,599","202,206","299,147","469,003","491,926","227,737","139,250","68,598","41,435","2,170,681"
,2013,"38,560","31,514","65,973","105,771","174,454","304,231","471,742","438,257","257,410","54,727","73,087","41,102","2,056,828"
,,,,,,,,,,,,,,
Aztec Ruins NM (AZRU),2016,955,"1,635","4,296","5,416","7,084","6,698","8,127","5,895","6,692","6,257",,,"53,055"
,2015,"1,203","1,593","3,426","5,095","6,301","7,319","7,658","4,770","5,355","5,313","2,732","2,400","53,165"
,2014,"1,086","1,675","2,683","4,339","4,855","5,438","6,240","5,050","4,626","4,081","2,182","2,466","44,721"
,2013,687,830,"2,589","4,110","4,843","6,738","6,699","4,674","5,352","1,199","1,756","1,835","41,312"
